#{"t_start": 1765558911.1261606, "env_id": "ContinuousCartPole-v0"}
r,l,t
500.0,500,1.100735
369.0,369,1.275673
500.0,500,1.499705
460.0,460,1.708114
371.0,371,1.866101
387.0,387,2.029147
500.0,500,2.239894
500.0,500,2.452984
500.0,500,2.65887
314.0,314,2.787314
451.0,451,2.975825
430.0,430,3.157231
453.0,453,3.347215
481.0,481,3.553189
435.0,435,3.760295
433.0,433,4.001354
290.0,290,4.123155
500.0,500,4.330812
319.0,319,4.46661
343.0,343,4.63248
453.0,453,4.888424
436.0,436,5.068335
451.0,451,5.258272
301.0,301,5.387584
363.0,363,5.547988
500.0,500,5.750376
413.0,413,5.917532
360.0,360,6.062548
500.0,500,6.267803
399.0,399,6.433743
500.0,500,6.640286
343.0,343,6.783922
460.0,460,6.983548
492.0,492,7.197611
500.0,500,7.416046
500.0,500,7.639563
275.0,275,7.758931
339.0,339,7.916974
489.0,489,8.12577
486.0,486,8.329255
500.0,500,8.539179
351.0,351,8.693273
378.0,378,8.858071
326.0,326,8.999328
470.0,470,9.205698
477.0,477,9.415885
500.0,500,9.634875
338.0,338,9.779408
323.0,323,9.915535
500.0,500,10.126209
485.0,485,10.337461
368.0,368,10.486197
354.0,354,10.629305
461.0,461,10.814462
500.0,500,11.018743
301.0,301,11.13961
485.0,485,11.340585
425.0,425,11.511074
500.0,500,11.713789
500.0,500,11.916249
335.0,335,12.051432
412.0,412,12.217901
364.0,364,12.365886
500.0,500,12.580986
327.0,327,12.712998
500.0,500,12.915281
500.0,500,13.119676
449.0,449,13.300833
500.0,500,13.505961
480.0,480,13.700001
406.0,406,13.86343
500.0,500,14.065549
500.0,500,14.269013
500.0,500,14.476704
351.0,351,14.632188
300.0,300,14.792893
281.0,281,14.942652
485.0,485,15.179452
458.0,458,15.36504
323.0,323,15.495302
500.0,500,15.697646
500.0,500,15.89878
500.0,500,16.112071
443.0,443,16.301312
500.0,500,16.511781
424.0,424,16.683783
310.0,310,16.808098
364.0,364,16.955804
389.0,389,17.122102
431.0,431,17.305103
365.0,365,17.451771
299.0,299,17.574011
500.0,500,17.783056
439.0,439,17.968215
309.0,309,18.099671
294.0,294,18.238899
341.0,341,18.386136
377.0,377,18.5479
500.0,500,18.765569
337.0,337,18.911345
